City,Country,Lat,Lng,Date,Max Temp,Humidity,Wind Speed,Cloudiness
Maniwaki,Canada,46.38,-75.98,1531000140,77.17,46,6.4,20
Sola,Finland,62.78,29.36,1530998400,57.2,93,5.82,90
Airai,Timor-Leste,-8.93,125.41,1531000141,57.28,86,1.92,0
Norwich,United Kingdom,52.63,1.29,1530998400,68.0,87,5.82,0
Misratah,Libya,32.38,15.09,1531000141,74.56,95,11.21,0
Dunedin,New Zealand,-45.87,170.5,1531000141,34.06,79,3.38,0
Balkanabat,Turkmenistan,39.51,54.36,1531000141,79.69,47,3.27,20
Riyadh,Saudi Arabia,24.63,46.72,1530997200,91.4,9,8.19,0
Manavalakurichi,India,8.13,77.3,1530999000,77.0,88,5.82,40
Avera,United States,33.19,-82.53,1530999300,89.6,62,8.05,40
Vidalia,United States,31.57,-91.43,1530998340,82.4,78,3.36,40
Ningxiang,China,28.28,112.55,1530997200,78.8,94,2.24,90
Gafanha Da Encarnacao,Portugal,40.62,-8.73,1530999000,66.2,93,2.24,75
Faanui,French Polynesia,-16.48,-151.75,1531000142,79.96,100,11.21,0
Hellin,Spain,38.51,-1.7,1530997200,73.4,49,8.05,0
Bar Harbor,United States,44.39,-68.2,1530996960,75.2,33,6.93,1
Kieta,Papua New Guinea,-6.22,155.63,1531000143,74.38,100,2.37,92
Swan River,Canada,52.11,-101.27,1531000143,82.21,54,10.98,0
Mineiros,Brazil,-17.57,-52.55,1531000143,79.33,34,4.61,0
Batavia,United States,43.0,-78.19,1530996840,80.6,31,3.15,20
Florida,Cuba,21.53,-78.23,1530998220,75.2,88,13.87,75
Beloha,Madagascar,-25.17,45.06,1531000143,64.48,90,14.12,0
Kamaishi,Japan,39.28,141.86,1531000143,68.08,100,3.27,92
Paita,Peru,-5.09,-81.11,1530997200,77.0,65,16.11,0
Barcelos,Portugal,41.53,-8.62,1530999000,66.2,93,2.24,75
Bogorodskoye,Russian Federation,52.37,140.44,1531000144,53.77,77,2.93,76
Souillac,France,45.6,-0.6,1530999000,77.0,50,3.36,0
Atambua,Indonesia,-9.11,124.89,1531000144,73.03,100,11.65,0
Thinadhoo,Maldives,0.53,72.93,1531000144,82.12,100,19.15,92
Kenora,Canada,49.76,-94.48,1530998100,87.8,55,20.8,20
Sobolevo,Russian Federation,54.43,31.9,1531000145,60.88,95,12.21,48
Qesarya,Israel,32.52,34.9,1530998400,77.0,78,3.36,0
Hargeysa,Somalia,9.56,44.06,1531000145,72.13,50,13.89,56
Tuatapere,New Zealand,-46.13,167.69,1531000145,49.0,96,15.12,44
Urucui,Brazil,-7.23,-44.56,1531000146,87.61,41,8.63,56
Dingle,Philippines,11.0,122.67,1531000146,77.53,87,6.17,36
Angoche,Mozambique,-16.23,39.91,1531000146,77.26,100,11.21,8
Tilichiki,Russian Federation,60.47,166.1,1531000146,59.26,90,4.72,0
Antigonish,Canada,45.62,-61.99,1530997200,64.4,48,11.41,1
Hualmay,Peru,-11.1,-77.61,1531000146,66.55,74,4.27,0
Taoudenni,Mali,22.68,-3.98,1531000146,89.95,12,6.06,0
Caxito,Brazil,-22.65,-42.51,1530997200,73.4,88,6.93,0
Rivera,Uruguay,-30.9,-55.54,1531000147,58.54,84,13.11,56
Tumut,Australia,-35.3,148.22,1531000147,40.18,98,8.75,92
Pundaguitan,Philippines,6.37,126.17,1531000147,81.49,100,1.7,36
Kpandae,Ghana,8.46,-0.01,1531000147,76.18,94,5.5,20
Mariel,Cuba,22.99,-82.75,1530996900,71.6,83,8.05,75
Sur,Oman,22.57,59.53,1531000148,88.96,81,8.08,0
Kaeo,New Zealand,-35.1,173.78,1531000148,58.18,91,19.26,76
Tautira,French Polynesia,-17.73,-149.15,1530999000,84.2,66,11.41,20
Robertsport,Liberia,6.75,-11.37,1531000148,78.61,100,6.62,56
Formosa,Argentina,-26.19,-58.17,1530997200,60.8,82,11.41,90
Camara De Lobos,Portugal,32.63,-16.97,1530999000,71.6,68,10.29,20
Eureka,United States,40.8,-124.16,1530999300,66.2,68,14.99,20
Puerto Baquerizo Moreno,Ecuador,-0.9,-89.6,1530997200,75.2,73,11.41,90
Beidao,China,34.57,105.89,1531000149,62.14,100,3.15,100
Las Matas De Farfan,Dominican Republic,18.87,-71.52,1531000149,87.43,42,8.08,20
Dolores,Uruguay,-33.53,-58.22,1531000149,53.68,97,12.77,92
Saint-Pierre,France,48.95,4.24,1530999000,69.8,56,8.05,0
Ocos,Guatemala,14.51,-92.19,1530997200,91.4,58,13.87,40
Fuerte Olimpo,Brazil,-21.04,-57.87,1531000150,80.14,61,5.84,0
Nanlong,China,31.35,106.05,1531000150,73.66,89,3.71,56
Viedma,Argentina,-40.81,-62.99,1531000150,46.21,98,2.93,92
Kloulklubed,Palau,7.04,134.26,1530999780,80.6,88,11.41,90
Havoysund,Norway,71.0,24.66,1530998400,48.2,87,2.93,92
Tiznit,Morocco,29.7,-9.73,1531000151,72.58,86,3.71,0
Someshwar,India,29.78,79.6,1531000151,60.88,95,2.15,92
Ippy,Central African Republic,6.26,21.2,1531000151,71.23,90,2.71,32
Rawson,Argentina,-43.3,-65.11,1531000152,45.04,79,6.4,12
Maputo,Mozambique,-25.97,32.57,1530997200,60.8,87,8.05,20
Plouzane,France,48.38,-4.62,1530999000,71.6,82,6.93,0
Jijiga,Ethiopia,9.35,42.8,1531000152,65.38,64,7.96,56
Kaseda,Japan,31.42,130.32,1530997200,75.2,94,1.12,75
Tela,Honduras,15.78,-87.45,1530997200,89.6,74,4.7,40
Codrington,Australia,-28.95,153.24,1531000152,46.12,50,5.84,0
Naze,Nigeria,5.43,7.07,1531000153,73.21,97,5.17,88
Jaisinghnagar,India,23.63,78.57,1531000153,75.19,94,7.74,8
Kanker,India,20.27,81.49,1531000153,72.94,99,6.96,100
Lodja,"Congo, The Democratic Republic of the",-3.52,23.6,1531000153,76.54,38,5.17,0
Rusape,Zimbabwe,-18.53,32.12,1531000153,53.41,100,4.16,48
Udgir,India,18.39,77.12,1531000153,72.13,99,10.09,100
Henties Bay,Namibia,-22.12,14.28,1531000154,68.53,61,9.42,48
Maragogi,Brazil,-9.01,-35.22,1531000154,74.65,91,8.97,88
Tahe,China,52.34,124.71,1531000154,61.33,78,5.5,36
Sambava,Madagascar,-14.27,50.17,1531000154,71.14,100,23.06,92
Chamrajnagar,India,11.92,76.95,1531000154,67.27,98,10.98,92
Sioux Lookout,Canada,50.1,-91.92,1530997200,87.8,43,16.11,40
Umm Kaddadah,Sudan,13.6,26.69,1531000155,70.96,98,5.73,76
Goderich,Canada,43.74,-81.71,1531000155,76.27,54,6.73,0
Dodge City,United States,37.75,-100.02,1530996840,91.4,38,13.87,20
Pacific Grove,United States,36.62,-121.92,1530996840,73.4,52,9.17,1
Litovko,Russian Federation,49.24,135.18,1531000155,62.5,87,2.15,0
Xining,China,36.62,101.77,1531000155,53.68,100,0.02,80
Preobrazheniye,Russian Federation,42.9,133.91,1531000155,45.67,91,1.81,48
Caririacu,Brazil,-7.04,-39.28,1531000155,84.73,42,11.1,100
Yatou,Cameroon,3.63,9.81,1530997200,77.0,94,1.12,75
Broome,United Kingdom,52.47,1.45,1530998400,68.0,87,5.82,0
Nishihara,Japan,35.74,139.53,1530997200,78.8,83,8.19,40
Honningsvag,Norway,70.98,25.97,1531000156,47.38,99,2.48,92
Soyo,Angola,-6.13,12.37,1531000156,74.2,83,7.29,0
Muroto,Japan,33.37,134.14,1530997800,75.2,88,9.17,75
Grindavik,Iceland,63.84,-22.43,1530997200,50.0,87,16.11,75
Hauterive,France,46.09,3.45,1530999000,68.0,72,2.24,0
Bom Jesus,Brazil,-5.99,-35.58,1530997200,78.8,78,10.29,0
Yaan,Nigeria,7.38,8.57,1531000157,76.0,92,3.94,68
Baruun-Urt,Mongolia,46.68,113.28,1531000158,54.85,100,10.42,92
Calabozo,"Venezuela, Bolivarian Republic of",8.92,-67.43,1531000158,91.3,49,10.76,68
Nabire,Indonesia,-3.36,135.5,1531000158,67.63,96,1.81,92
Tigil,Russian Federation,57.8,158.67,1531000158,59.89,56,10.42,0
Alexandria,United States,31.31,-92.44,1530997980,91.4,52,4.7,20
Road Town,"Virgin Islands, British",18.42,-64.62,1530997200,86.0,66,10.29,40
Pochinki,Russian Federation,54.7,44.85,1531000158,62.32,95,5.84,44
Hofn,Iceland,64.25,-15.21,1531000159,49.36,96,14.12,76
Grand Gaube,Mauritius,-20.01,57.66,1530997200,69.8,83,2.24,40
Auki,Nigeria,12.18,6.51,1531000159,75.01,93,3.38,56
Vila Franca Do Campo,Portugal,37.72,-25.43,1530999000,69.8,83,4.7,20
Hazorasp,Uzbekistan,41.32,61.08,1530997200,80.6,47,4.7,0
Acajutla,El Salvador,13.59,-89.83,1531000159,87.25,62,3.27,88
Jaicos,Brazil,-7.36,-41.14,1531000160,87.7,38,9.42,64
Jiangyou,China,31.78,104.73,1531000160,73.57,85,2.71,64
Yanam,India,16.73,82.22,1531000160,74.74,95,18.37,100
Mitsamiouli,Comoros,-11.38,43.28,1531000160,78.34,93,9.08,8
Mykhaylivka,Ukraine,47.27,35.22,1530997200,69.8,68,4.47,0
Sabang,Philippines,13.72,123.58,1531000161,79.06,98,6.62,44
Tongzi,China,28.78,105.09,1531000161,74.11,98,3.04,92
Malartic,Canada,48.14,-78.13,1530997200,78.8,31,13.87,75
San Ramon,Nicaragua,12.92,-85.84,1531000161,76.54,63,5.5,36
Cabadiangan,Philippines,10.45,123.98,1530997200,77.0,83,4.7,90
Mount Isa,Australia,-20.73,139.49,1530997200,53.6,46,12.75,0
Shingu,Japan,33.72,135.99,1531000162,73.93,100,1.59,92
Olinda,Ecuador,-2.03,-79.75,1530997200,78.8,69,8.05,75
Garautha,India,25.57,79.3,1531000162,83.29,70,3.15,0
Ca Mau,Viet Nam,9.18,105.15,1531000162,82.03,87,10.65,80
Tigzirt,Algeria,36.57,4.2,1531000162,80.5,51,1.36,80
Kavaratti,India,10.57,72.64,1531000162,78.7,100,22.5,56
Bahjoi,India,28.39,78.62,1531000163,83.47,82,2.37,12
Nome,United States,30.04,-94.42,1530998100,91.4,78,10.29,75
Pathein,Myanmar,16.78,94.73,1531000163,77.53,97,8.19,92
Matara,Peru,-13.74,-72.9,1531000163,59.08,31,2.48,0
Sao Gabriel Da Cachoeira,Brazil,-0.13,-67.09,1531000163,80.23,88,2.37,32
Salamiyah,Syrian Arab Republic,35.01,37.05,1531000163,69.43,52,6.73,0
Atar,Mauritania,20.52,-13.05,1531000164,90.76,24,4.16,0
Amapa,Honduras,15.09,-87.97,1530997200,89.6,66,14.99,75
College,United States,64.86,-147.8,1530997080,71.6,46,4.83,1
Vila Velha,Brazil,-3.71,-38.6,1531000164,78.16,100,17.58,76
Saint-Georges,Canada,46.12,-70.67,1531000164,68.71,56,6.96,24
Innisfail,Canada,52.02,-113.95,1530997200,73.4,35,16.11,40
Nantucket,United States,41.28,-70.1,1530998100,71.6,43,9.17,1
Oromocto,Canada,45.85,-66.47,1530997200,75.2,33,12.75,1
Griffith,Australia,-34.29,146.06,1531000165,45.58,87,13.67,92
Jonesboro,United States,35.84,-90.7,1530999300,87.8,55,11.41,1
Balabac,Philippines,7.99,117.06,1531000165,84.82,100,17.02,32
Luderitz,Namibia,-26.65,15.16,1531000166,67.99,57,17.69,0
Cao Bang,Viet Nam,22.67,106.25,1531000166,69.34,99,3.15,92
Hambantota,Sri Lanka,6.12,81.12,1531000166,78.79,100,20.04,88
Rognan,Norway,67.1,15.4,1530998400,51.8,81,5.82,75
Laguna,Mexico,27.52,-110.01,1530996480,91.4,41,6.93,75
Kolvereid,Norway,64.86,11.6,1531000167,51.88,92,3.04,48
Biltine,Chad,14.53,20.93,1531000167,78.61,58,7.74,8
Gushikawa,Japan,26.35,127.87,1530997200,80.6,88,3.36,1
Becerril,Colombia,9.7,-73.28,1531000167,90.13,37,1.14,36
Czluchow,Poland,53.67,17.36,1531000167,62.41,61,5.06,76
Constitucion,Mexico,23.99,-104.67,1530996180,73.4,43,11.41,75
Ponta Delgada,Portugal,37.73,-25.67,1530999000,69.8,83,4.7,20
Saquena,Peru,-4.67,-73.52,1531000168,86.8,66,4.16,24
Tsukuba,Japan,36.08,140.08,1530997560,78.8,94,4.7,75
Teya,Mexico,21.05,-89.07,1530996480,93.2,44,11.41,90
